KECAMATAN;MSH DIPANTAU-ODP;SELESAI-ODP;MSH DIRAWAT-PDP;SELESAI-PDP;MSH DIRAWAT-POSITIF;SEMBUH;MENINGGAL;TOTAL POSITIF
ANDIR;7;36;11;11;14;0;3;17
ANTAPANI;19;224;17;13;4;0;0;4
ARCAMANIK;20;146;12;11;4;0;4;8
ASTANA ANYAR;2;58;10;10;13;1;0;14
BABAKAN CIPARAY;29;185;11;14;7;3;1;11
BANDUNG KIDUL;7;70;5;6;3;0;1;4
BANDUNG KULON;14;78;12;11;17;0;0;17
BANDUNG WETAN;1;32;4;4;3;2;0;5
BATUNUNGGAL;25;92;10;14;4;1;0;5
BOJONGLOA KALER;50;134;14;8;6;0;2;8
BOJONGLOA KIDUL;6;46;10;6;2;0;1;3
BUAH BATU;12;82;15;9;6;0;0;6
CIBEUNYING KALER;9;73;8;2;1;0;2;3
CIBEUNYING KIDUL;35;138;10;12;6;0;0;6
CIBIRU;3;54;8;7;3;0;1;4
CICENDO;3;44;9;23;19;3;4;26
CIDADAP;1;23;2;10;2;1;0;3
CINAMBO;1;16;3;2;1;0;0;1
COBLONG;5;151;11;10;8;4;0;12
GEDEBAGE;2;51;7;6;4;0;1;5
KIARACONDONG;34;126;24;19;10;0;1;11
LENGKONG;7;94;11;17;5;0;1;6
MANDALAJATI;6;65;5;6;2;0;0;2
PANYILEUKAN;9;70;5;9;0;0;2;2
RANCASARI;23;100;12;5;3;1;0;4
REGOL;2;67;9;9;8;3;2;13
SUKAJADI;9;45;3;10;5;1;0;6
SUKASARI;8;93;7;9;2;0;0;2
SUMUR BANDUNG;4;71;5;4;6;0;2;8
UJUNG BERUNG;4;129;7;15;5;0;0;5
LAINNYA;70;364;2;4;0;0;0;0