Date;TOTAL;SELESAI;MASUK PDP;PEMANTAUAN;LAKI - LAKI;PEREMPUAN;WNI;WNA;K-1;K-2;K-3;K-4;K-5;K-6;K-7;K-8;K-9
05/04/20;1790;950;4;840;1001;789;1783;7;124;143;506;382;283;225;87;35;5
06/04/20;1856;1093;4;763;1030;826;1849;7;129;147;524;400;290;233;91;35;7
07/04/20;1983;1201;4;782;1092;891;1976;7;141;165;554;434;307;243;96;36;7
08/04/20;2048;1315;4;733;1125;923;2041;7;142;174;575;447;315;249;101;38;7
09/04/20;2163;1477;4;686;1193;970;2156;7;144;184;612;475;328;269;105;39;7
10/04/20;2207;1560;4;647;1215;992;2200;7;154;193;620;480;332;273;109;39;7
11/04/20;2220;1659;4;561;1223;997;2213;7;156;193;622;484;334;275;110;39;7
12/04/20;2321;1806;4;515;1277;1044;2314;7;168;200;643;505;347;289;119;42;8
13/04/20;2378;1889;4;489;1310;1068;2371;7;177;211;658;513;352;295;120;42;10
14/04/20;2455;1969;22;486;1354;1101;2448;7;178;217;689;522;366;306;125;42;10
15/04/20;2514;2062;57;452;1386;1128;2507;7;183;219;709;531;382;311;127;42;10
16/04/20;2716;2183;30;533;1505;1211;2709;7;206;245;745;566;418;338;142;44;12
17/04/20;2784;2256;30;528;1551;1233;2777;7;210;250;759;579;426;354;150;44;12
18/04/20;2849;2330;35;519;1594;1255;2842;7;212;254;776;593;434;366;158;44;12
19/04/20;2866;2398;31;468;1606;1260;2859;7;213;258;779;596;435;367;160;46;12
20/04/20;2915;2438;32;477;1629;1286;2908;7;215;268;792;606;442;371;161;48;12
21/04/20;2992;2523;30;469;1677;1315;2985;7;232;281;809;614;452;380;164;48;12
22/04/20;3069;2568;30;501;1721;1348;3062;7;236;289;835;624;468;390;167;48;12
23/04/20;3090;2603;30;487;1731;1359;3083;7;237;293;837;626;473;396;168;48;12
24/04/20;3210;2708;21;502;1805;1405;3201;9;253;312;861;644;490;409;178;51;12
25/04/20;3240;2760;21;480;1824;1416;3231;9;255;313;873;645;494;414;181;52;13
26/04/20;3247;2796;21;451;1830;1417;3238;9;255;313;875;647;494;417;181;52;13
27/04/20;3333;2871;21;462;1876;1457;3324;9;265;330;891;664;501;427;188;54;13
28/04/20;3384;2957;21;427;1913;1471;3375;9;276;333;898;675;513;431;190;54;14