Date;TOTAL;SELESAI;PENGAWASAN;LAKI - LAKI;PEREMPUAN;WNI;WNA;K-1;K-2;K-3;K-4;K-5;K-6;K-7;K-8;K-9
05/04/2020;200;65;135;119;81;198;2;25;10;22;32;24;32;35;16;4
06/04/2020;211;73;138;119;92;208;3;26;10;24;32;23;38;37;15;6
07/04/2020;259;120;139;145;114;257;2;26;12;31;40;34;46;42;19;9
08/04/2020;264;121;143;148;116;262;2;26;12;32;39;35;46;44;21;9
09/04/2020;265;125;140;147;118;263;2;26;14;32;40;34;46;42;22;9
10/04/2020;265;127;138;149;116;263;2;27;17;33;41;35;42;41;20;9
11/04/2020;265;128;137;149;116;263;2;27;17;34;42;33;42;41;20;9
12/04/2020;282;141;141;159;123;280;2;27;18;36;50;35;46;42;20;8
13/04/2020;296;152;144;169;127;294;2;27;18;38;54;38;46;46;21;8
14/04/2020;324;161;163;182;142;322;2;29;20;41;56;42;56;49;23;8
15/04/2020;347;168;179;194;153;345;2;30;21;43;58;45;59;56;28;7
16/04/2020;368;169;199;210;158;366;2;33;21;46;62;47;64;57;31;7
17/04/2020;393;174;219;224;169;391;2;33;21;48;63;53;69;61;38;7
18/04/2020;405;176;229;232;173;403;2;37;21;50;65;54;69;63;39;7
19/04/2020;415;176;239;238;177;413;2;42;22;53;67;55;67;63;39;7
20/04/2020;428;200;228;245;183;426;2;44;23;51;67;54;73;68;39;9
21/04/2020;443;210;233;253;190;441;2;43;26;53;71;56;75;70;40;9
22/04/2020;467;223;244;265;202;465;2;45;28;61;72;57;78;74;42;10
23/04/2020;486;236;250;276;210;484;2;49;30;59;76;60;82;76;44;10
24/04/2020;527;249;278;293;234;525;2;53;30;66;88;63;92;80;44;11
25/04/2020;542;265;277;305;237;540;2;54;30;67;93;70;92;78;45;13
26/04/2020;537;263;274;303;234;535;2;57;30;66;91;69;89;77;45;13
27/04/2020;567;292;275;319;248;565;2;61;34;69;94;71;89;84;51;14
28/04/2020;575;296;279;326;249;573;2;63;36;71;94;71;90;85;51;14
29/04/2020;597;344;253;343;254;595;2;64;37;75;97;77;93;88;52;13
30/04/2020;604;347;257;343;261;602;2;67;39;74;99;76;94;91;51;13
01/05/2020;613;347;266;349;264;611;2;67;39;75;102;77;95;94;51;13
02/05/2020;641;359;282;360;281;639;2;74;43;79;108;79;95;97;52;13
03/05/2020;647;363;284;362;285;645;2;75;44;79;109;79;95;98;53;15